Roster,Time_Out,Origin,Route,Destination,Time_In,Days,Operating Hrs,Layover Hrs,Meal Hrs,Dead Hrs,Operating Dist,Dead Dist,Fuel Cost,Bus Hrs Cost,Tot Roster Cost,Tot Closure Cost,Type
9,23:16,Dapto Station,43SC,Central Station,25:04:00,Sat 01-Jul-2023,1:48,0:56,,,100.656,0,,,,,
9,25:09:00,Central Station,Dead,Helensberg,26:08:00,Sat 01-Jul-2023,,0:05,,0:59,0,57.819,,,,,
,,,,Roster_Total,19:47,,13:10,3:41,0:00,3:58,600.954,233.694,$531.17 ,"$2,571.83 ","$3,103.01 ","$29,260.33 ",coach
,,,,,,,,,,,,,,,,,
10,6:01,Helensberg,Dead,Dapto Station,6:36,Sat 01-Jul-2023,,0:05,,0:35,0,45.965,,,,,
10,6:41,Dapto Station,43SC,Central Station,8:33,Sat 01-Jul-2023,1:52,0:00,,,100.656,0,,,,,
10,8:46,Central Station,43SC,Dapto Station,11:08,Sat 01-Jul-2023,2:22,0:13,,,99.662,0,,,,,
10,11:08,Dapto Station,43SC,Helensberg,11:42,Sat 01-Jul-2023,,0:00,,0:34,0,45.863,,,,,
10,10:34,Helensberg,43SC,Meal Break Start,11:04,Sat 01-Jul-2023,,0:05,,0:35,0,45.965,,,,,
10,11:09,Meal Break Start,MB,Meal Break End,11:39,Sat 01-Jul-2023,0:00,0:01,0:30,,0,0,,,,,
10,11:57,Dapto Station,43SC,Central Station,14:17,Sat 01-Jul-2023,2:20,0:18,,,100.656,0,,,,,
10,14:42,Central Station,43SC,Dapto Station,17:11,Sat 01-Jul-2023,2:29,0:25,,,99.662,0,,,,,
10,17:40,Dapto Station,43SC,Central Station,19:53,Sat 01-Jul-2023,2:13,0:29,,,100.656,0,,,,,
10,19:54,Meal Break Start,MB,Meal Break End,20:24,Sat 01-Jul-2023,0:00,0:01,0:30,,0,0,,,,,
10,20:47,Central Station,43SC,Dapto Station,22:45,Sat 01-Jul-2023,1:58,0:23,,,99.662,0,,,,,
10,22:50,Dapto Station,Dead,Helensberg,23:24,Sat 01-Jul-2023,,0:05,,0:34,0,45.863,,,,,
,,,,Roster_Total,17:23,,13:14,2:05,1:00,2:18,600.954,183.656,$512.66 ,"$2,129.83 ","$2,642.49 ","$31,902.82 ",coach
,,,,,,,,,,,,,,,,,
11,6:40,Helensberg,Dead,Dapto Station,7:15,Sat 01-Jul-2023,,0:05,,0:35,0,45.965,,,,,
11,7:20,Dapto Station,43SC,Central Station,9:20,Sat 01-Jul-2023,2:00,0:00,,,100.656,0,,,,,
11,10:04,Central Station,43SC,Dapto Station,12:39,Sat 01-Jul-2023,2:35,0:44,,,99.662,0,,,,,
11,13:07,Dapto Station,43SC,Central Station,15:27,Sat 01-Jul-2023,2:20,0:28,,,100.656,0,,,,,
11,15:27,Central Station,43SC,Helensberg,16:01,Sat 01-Jul-2023,,0:00,,0:34,0,45.863,,,,,
11,14:53,Helensberg,43SC,Meal Break Start,15:23,Sat 01-Jul-2023,,0:05,,0:35,0,45.965,,,,,
11,15:28,Meal Break Start,MB,Meal Break End,15:58,Sat 01-Jul-2023,0:00,0:01,0:30,,0,0,,,,,
11,16:13,Central Station,43SC,Dapto Station,18:31,Sat 01-Jul-2023,2:18,0:15,,,99.662,0,,,,,
11,19:19,Dapto Station,43SC,Central Station,21:21,Sat 01-Jul-2023,2:02,0:48,,,100.656,0,,,,,
11,21:22,Meal Break Start,MB,Meal Break End,21:52,Sat 01-Jul-2023,0:00,0:01,0:30,,0,0,,,,,
11,22:56,Central Station,43SC,Dapto Station,24:49:00,Sat 01-Jul-2023,1:53,1:04,,,99.662,0,,,,,
11,24:54:00,Dapto Station,Dead,Helensberg,25:28:00,Sat 01-Jul-2023,,0:05,,0:34,0,45.863,,,,,
,,,,Roster_Total,18:48,,13:08,3:36,1:00,2:18,600.954,183.656,$512.66 ,"$2,314 ","$2,826.66 ","$34,729.48 ",coach
,,,,,,,,,,,,,,,,,
12,7:33,Helensberg,Dead,Dapto Station,8:08,Sat 01-Jul-2023,,0:05,,0:35,0,45.965,,,,,
12,8:13,Dapto Station,43SC,Central Station,10:22,Sat 01-Jul-2023,2:09,0:00,,,100.656,0,,,,,
12,10:37,Central Station,43SC,Dapto Station,13:12,Sat 01-Jul-2023,2:35,0:15,,,99.662,0,,,,,
12,13:13,Meal Break Start,MB,Meal Break End,13:43,Sat 01-Jul-2023,0:00,0:01,0:30,,0,0,,,,,
12,14:02,Dapto Station,43SC,Central Station,16:22,Sat 01-Jul-2023,2:20,0:19,,,100.656,0,,,,,
12,16:50,Central Station,43SC,Dapto Station,19:08,Sat 01-Jul-2023,2:18,0:28,,,99.662,0,,,,,
12,19:13,Dapto Station,Dead,Helensberg,19:47,Sat 01-Jul-2023,,0:05,,0:34,0,45.863,,,,,
,,,,Roster_Total,12:14,,9:22,1:13,0:30,1:09,400.636,91.828,$364.42 ,"$1,525.33 ","$1,889.76 ","$36,619.24 ",coach
,,,,,,,,,,,,,,,,,
13,7:52,Helensberg,Dead,Dapto Station,8:27,Sat 01-Jul-2023,,0:05,,0:35,0,45.965,,,,,
13,8:32,Dapto Station,43SC,Central Station,10:41,Sat 01-Jul-2023,2:09,0:00,,,100.656,0,,,,,
13,11:34,Central Station,43SC,Dapto Station,14:09,Sat 01-Jul-2023,2:35,0:53,,,99.662,0,,,,,
13,14:39,Dapto Station,43SC,Central Station,16:59,Sat 01-Jul-2023,2:20,0:30,,,100.656,0,,,,,
13,17:58,Central Station,43SC,Dapto Station,20:13,Sat 01-Jul-2023,2:15,0:59,,,99.662,0,,,,,
13,20:18,Dapto Station,Dead,Helensberg,20:52,Sat 01-Jul-2023,,0:05,,0:34,0,45.863,,,,,
